"ApoA1" "ApoB" "BisDBRatio" "BisFARatio" "CH2DBRatio" "CH2InFA" "DBInFA" "DHA" "EstC" "FALen" "FAw3" "FAw6" "FAw79S" "FreeC" "Gln" "Glol" "LLDLFC" "Gp" "HDLC" "HDLD" "IDLC" "IDLFC" "IDLL" "IDLPL" "IDLP" "IDLTG" "LA" "LDLC" "LDLD" "LHDLCE" "LHDLC" "LHDLFC" "LHDLL" "LHDLPL" "LHDLP" "LLDLCE" "LLDLC" "MVLDLFC" "LLDLL" "LLDLPL" "LLDLP" "LVLDLCE" "LVLDLC" "LVLDLFC" "LVLDLL" "LVLDLPL" "LVLDLP" "LVLDLTG" "MHDLCE" "MHDLC" "MHDLFC" "MHDLL" "MHDLPL" "MHDLP" "MLDLCE" "MLDLC" "MLDLL" "MLDLPL" "MLDLP" "MUFA" "MVLDLCE" "MVLDLC" "TotPG" "MVLDLL" "MVLDLPL" "MVLDLP" "MVLDLTG" "OtPUFA" "PC" "SerumC" "SerumTG" "SHDLL" "SHDLP" "SHDLTG" "SLDLC" "SLDLL" "SLDLP" "SM" "SVLDLC" "SVLDLFC" "SVLDLL" "SVLDLPL" "SVLDLP" "SVLDLTG" "TotFA" "VLDLD" "XLHDLCE" "XLHDLC" "XLHDLFC" "XLHDLL" "XLHDLPL" "XLHDLP" "XLHDLTG" "XLVLDLL" "XLVLDLPL" "XLVLDLP" "XLVLDLTG" "XSVLDLL" "XSVLDLPL" "XSVLDLP" "XSVLDLTG" "XXLVLDLL" "XXLVLDLPL" "XXLVLDLTG" "Gly"
"rs72657077" 0.312031 0.234541 0.165361 0.136379 0.562681 0.871081 0.344044 0.297156 0.436015 0.229099 0.268038 0.961587 0.731267 0.511378 0.754845 0.592613 0.201182 0.135751 0.351247 0.851355 0.744941 0.439505 0.775947 0.566293 0.770921 0.675098 0.817352 0.173325 0.533894 0.966978 0.947062 0.79602 0.997951 0.969471 0.969768 0.650605 0.248865 0.632783 0.661583 0.289965 0.685875 0.906325 0.660211 0.907102 0.882736 0.81042 0.859868 0.878856 0.294614 0.373663 0.877945 0.583687 0.568351 0.680169 0.539496 0.240652 0.622138 0.396083 0.629134 0.747728 0.876607 0.921773 0.737442 0.839302 0.740459 0.486743 0.632843 0.104721 0.624391 0.718567 0.981252 0.436535 0.662341 0.331064 0.396302 0.691709 0.680397 0.459751 0.570752 0.182106 0.742169 0.710546 0.742785 0.270271 0.833271 0.62826 0.393796 0.132706 0.238776 0.481146 0.749374 0.719301 0.891683 0.369949 0.435947 0.44236 0.450894 0.72492 0.731409 0.745718 0.631636 0.307558 0.123764 0.338461 0.090508
"rs112033975" 0.639276 0.963592 0.550853 0.430964 0.926071 0.436574 0.472672 0.414916 0.484178 0.067858 0.612901 0.520005 0.541911 0.53573 0.176957 0.093555 0.53894 0.448159 0.402531 0.419972 0.617324 0.486334 0.610565 0.477732 0.60674 0.676459 0.710353 0.675534 0.620761 0.492394 0.47684 0.446711 0.388493 0.35051 0.354859 0.696185 0.636636 0.622078 0.615385 0.564029 0.607143 0.738374 0.545254 0.600019 0.336727 0.611451 0.345343 0.366633 0.766276 0.795352 0.909435 0.925029 0.893303 0.929001 0.726297 0.698666 0.722836 0.817469 0.714322 0.457861 0.935135 0.875902 0.582448 0.874678 0.762003 0.696046 0.649213 0.512231 0.73441 0.596031 0.848505 0.968533 0.834079 0.742371 0.802411 0.775775 0.80812 0.760762 0.915998 0.802227 0.790715 0.88457 0.741434 0.788512 0.576951 0.218699 0.504233 0.59873 0.625175 0.537863 0.558463 0.220817 0.487134 0.745322 0.747968 0.347865 0.627991 0.845232 0.562734 0.816431 0.992977 0.902368 0.873086 0.757445 0.251273
"rs116199941" 0.616193 0.203021 0.669404 0.713701 0.756479 0.393667 0.826822 0.142835 0.318305 0.391415 0.14073 0.393088 0.262837 0.732412 0.598364 0.634247 0.934413 0.052269 0.667438 0.168846 0.698322 0.615407 0.649308 0.642881 0.6236 0.239787 0.456871 0.728882 0.998643 0.456008 0.4969 0.287012 0.378223 0.446829 0.400927 0.653853 0.687287 0.14058 0.754581 0.968642 0.740772 0.123457 0.03228 0.059102 0.352671 0.339595 0.48711 0.218881 0.978237 0.693048 0.721954 0.960731 0.899445 0.961985 0.603199 0.838728 0.766159 0.941963 0.732725 0.427745 0.163928 0.14081 0.791667 0.323162 0.190925 0.498491 0.361855 0.08872 0.663058 0.246343 0.059816 0.633763 0.757106 0.425522 0.510888 0.786795 0.708425 0.112163 0.026722 0.019364 0.057719 0.024762 0.062816 0.036691 0.228082 0.518372 0.757737 0.516681 0.166873 0.301878 0.146607 0.150731 0.822256 0.162021 0.110563 0.518707 0.057822 0.186941 0.359514 0.178371 0.084985 0.350638 0.163962 0.374361 0.105171
"rs11848293" 0.824226 0.117685 0.284676 0.644634 0.31157 0.786884 0.700742 0.817811 0.022372 0.94322 0.899988 0.029661 0.09586 0.023169 0.099819 0.21548 0.101277 0.129898 0.964253 0.921711 0.039995 0.150017 0.049062 0.182502 0.051636 0.096199 0.028909 0.069595 0.219084 0.750245 0.994213 0.698662 0.868885 0.80531 0.846214 0.056988 0.124948 0.407542 0.048858 0.127596 0.048365 0.627359 0.477994 0.637842 0.643271 0.584619 0.891285 0.888233 0.229218 0.429843 0.802533 0.3556 0.503884 0.418199 0.085841 0.057296 0.078292 0.036249 0.08054 0.074479 0.050012 0.30417 0.09039 0.202176 0.417548 0.246539 0.741366 0.441801 0.061152 0.304199 0.556672 0.606778 0.576305 0.518335 0.201918 0.109753 0.130901 0.422207 0.133009 0.198132 0.090644 0.21523 0.120898 0.663468 0.063561 0.858933 0.981138 0.701948 0.491481 0.659563 0.555699 0.366845 0.931796 0.627211 0.657831 0.840157 0.524274 0.109873 0.054169 0.116433 0.17937 0.671123 0.438954 0.803677 0.325578
"rs146161775" 0.031693 0.447397 0.275479 0.430686 0.981082 0.581011 0.35005 0.382998 0.933535 0.43719 0.511313 0.823942 0.664243 0.407739 0.70452 0.8621 0.558935 0.315356 0.271084 0.402809 0.749305 0.505879 0.62338 0.45408 0.512042 0.246903 0.878194 0.413563 0.096363 0.627597 0.539961 0.333702 0.374558 0.300375 0.338745 0.557463 0.549552 0.153675 0.461571 0.475681 0.410164 0.086763 0.192684 0.177213 0.268672 0.227061 0.192527 0.295193 0.793406 0.661962 0.251169 0.41619 0.281488 0.347843 0.379183 0.361646 0.314374 0.412832 0.277503 0.583376 0.332838 0.226766 0.376794 0.207634 0.226275 0.30757 0.233869 0.254136 0.492991 0.323194 0.070487 0.287271 0.266374 0.190193 0.26559 0.182379 0.215813 0.602713 0.985206 0.256976 0.200577 0.222386 0.15659 0.091287 0.729474 0.167561 0.345185 0.318952 0.302606 0.267081 0.232106 0.148283 0.158525 0.201792 0.155861 0.571747 0.215994 0.504687 0.388206 0.383743 0.157497 0.18437 0.190785 0.113643 0.275018
"rs4724060" 0.612627 0.947829 0.235986 0.475483 0.336991 0.069709 0.416338 0.926855 0.403448 0.42474 0.440171 0.847357 0.320636 0.453287 0.4163 0.390743 0.61653 0.569404 0.348807 0.524581 0.573475 0.956135 0.874404 0.770985 0.963732 0.646004 0.41698 0.542371 0.139271 0.247747 0.299369 0.510813 0.639932 0.91361 0.788757 0.42327 0.487087 0.423387 0.573186 0.666291 0.602517 0.463834 0.536758 0.460493 0.657533 0.761639 0.71381 0.616032 0.759012 0.963383 0.739079 0.746355 0.559175 0.590353 0.593957 0.586144 0.550318 0.355146 0.562534 0.097581 0.391005 0.39799 0.404461 0.633323 0.618912 0.682216 0.852841 0.774497 0.398342 0.320632 0.809452 0.981064 0.700254 0.194483 0.535835 0.479978 0.379206 0.795431 0.415816 0.570539 0.738706 0.761696 0.831756 0.609018 0.419782 0.489232 0.019754 0.028109 0.047016 0.10081 0.293617 0.21233 0.703669 0.406809 0.485612 0.396062 0.384146 0.849162 0.531279 0.718438 0.641761 0.555792 0.970391 0.519993 0.832225
"rs116386326" 0.321529 0.820531 0.847752 0.959357 0.623938 0.828298 0.7532 0.218771 0.081538 0.93495 0.454079 0.004489 0.070126 0.018045 0.652375 0.672945 0.312098 0.386402 0.296258 0.270946 0.61197 0.831648 0.408999 0.633905 0.34058 0.339239 0.005373 0.626905 0.837518 0.288359 0.324104 0.204356 0.15111 0.122307 0.124186 0.627534 0.336823 0.976986 0.507037 0.21607 0.470499 0.906119 0.790953 0.747159 0.122374 0.68798 0.068486 0.796645 0.257927 0.294366 0.154836 0.078677 0.114945 0.051059 0.590514 0.31247 0.501196 0.282463 0.471057 0.17663 0.158723 0.593776 0.014808 0.148029 0.80772 0.075498 0.805973 0.11728 0.012085 0.832502 0.918607 0.251682 0.24865 0.605224 0.762853 0.325352 0.335812 0.27744 0.939231 0.886484 0.462989 0.814243 0.428035 0.906427 0.020601 0.558384 0.851749 0.910029 0.702357 0.451114 0.328001 0.852166 0.068653 0.653899 0.490122 0.73275 0.508133 0.272677 0.304973 0.246425 0.360573 0.812849 0.347335 0.173062 0.171269
"rs117872302" 0.245818 0.64912 0.529898 0.278596 0.236887 0.28082 0.170215 0.926493 0.965403 0.279192 0.938271 0.945097 0.665398 0.950959 0.145412 0.547038 0.952891 0.892018 0.289464 0.029661 0.903305 0.68183 0.880986 0.855289 0.869787 0.925126 0.976849 0.947765 0.627408 0.221256 0.175475 0.097114 0.150157 0.159042 0.153535 0.93784 0.97915 0.663097 0.995376 0.911887 0.96366 0.487073 0.701284 0.661435 0.914128 0.992395 0.866353 0.922214 0.754198 0.725331 0.5775 0.717189 0.705137 0.739232 0.946418 0.907234 0.923446 0.746527 0.940416 0.768682 0.86516 0.876723 0.554333 0.998137 0.816848 0.92671 0.882037 0.737629 0.366209 0.777484 0.953838 0.462781 0.558101 0.717814 0.909935 0.826246 0.907814 0.531003 0.710012 0.715391 0.859504 0.81034 0.909078 0.963435 0.727488 0.776129 0.183637 0.15758 0.107948 0.089658 0.072627 0.050167 0.421681 0.650646 0.713361 0.997276 0.780797 0.812579 0.765441 0.854571 0.981566 0.273041 0.458921 0.33421 0.457665
"rs149831970" 0.439597 0.953127 0.794044 0.441964 0.534775 0.730424 0.228128 0.669507 0.625131 0.246419 0.778292 0.810909 0.939944 0.372888 0.069445 0.688864 0.245944 0.946353 0.340008 0.839778 0.229763 0.32115 0.320778 0.39615 0.379555 0.332956 0.98204 0.410849 0.437813 0.601941 0.618585 0.627786 0.487498 0.3539 0.447387 0.308188 0.298225 0.624677 0.306098 0.281263 0.306954 0.124034 0.233598 0.352996 0.535317 0.521926 0.336209 0.627383 0.761714 0.713385 0.404592 0.521319 0.337957 0.465025 0.399735 0.40569 0.400815 0.362057 0.397984 0.929096 0.598646 0.636431 0.735058 0.848851 0.613849 0.580723 0.732185 0.861404 0.813961 0.372291 0.764497 0.37646 0.540255 0.792387 0.659653 0.732838 0.704365 0.733006 0.819174 0.932137 0.927032 0.995146 0.893223 0.867274 0.930273 0.522854 0.855071 0.968608 0.620608 0.835763 0.697764 0.808838 0.857504 0.415797 0.342697 0.757434 0.506194 0.709928 0.45036 0.7313 0.711012 0.207975 0.431349 0.34246 0.808858
"rs112460512" 0.65853 0.483594 0.928022 0.805814 0.229649 0.157634 0.224556 0.719834 0.414953 0.75685 0.185896 0.119302 0.125088 0.224638 0.533784 0.177552 0.690152 0.452432 0.206061 0.503842 0.724938 0.917948 0.948791 0.999 0.942777 0.398984 0.124169 0.773459 0.22266 0.137018 0.180834 0.340771 0.307564 0.46143 0.366589 0.791942 0.77658 0.534334 0.78779 0.692822 0.833978 0.687352 0.717145 0.875743 0.730255 0.53392 0.636039 0.818038 0.19795 0.239577 0.427715 0.31678 0.362275 0.376568 0.871539 0.797431 0.744492 0.509783 0.740607 0.292164 0.646348 0.635105 0.229431 0.589549 0.442488 0.882101 0.440553 0.423138 0.177836 0.536587 0.661688 0.449404 0.306717 0.167966 0.732677 0.662678 0.583023 0.110502 0.582446 0.458371 0.420496 0.377437 0.408192 0.369276 0.120208 0.929579 0.064566 0.046641 0.034369 0.05513 0.114218 0.040968 0.660989 0.827711 0.670701 0.888261 0.802465 0.426718 0.486092 0.367568 0.281037 0.645807 0.690564 0.587875 0.223072
"rs116451273" 0.006071 0.964026 0.650588 0.691896 0.77364 0.798137 0.065165 0.443731 0.853014 0.895314 0.246196 0.726073 0.290694 0.233243 0.778362 0.174233 0.869042 0.989556 0.022002 0.314856 0.751935 0.953504 0.763011 0.934238 0.784118 0.598105 0.8593 0.954081 0.039696 0.042662 0.071885 0.11927 0.08629 0.129129 0.099275 0.955985 0.99272 0.076128 0.92825 0.945577 0.945386 0.245423 0.066413 0.049291 0.081113 0.038021 0.114836 0.032972 0.003827 0.008315 0.021935 0.004702 0.011281 0.005807 0.948652 0.988211 0.832556 0.774242 0.770947 0.667 0.546079 0.161084 0.171899 0.14319 0.091218 0.227734 0.060414 0.386012 0.256296 0.158834 0.136228 0.06799 0.021994 0.927311 0.564197 0.534537 0.396888 0.58379 0.925338 0.660654 0.760402 0.607634 0.674522 0.278592 0.334843 0.135574 0.107953 0.145745 0.149899 0.092226 0.139909 0.071571 0.183032 0.208235 0.099 0.230361 0.099889 0.725279 0.51055 0.789614 0.985338 0.174968 0.108773 0.133251 0.125401
"rs117412492" 0.559371 0.220139 0.001624 0.000297 0.000749 0.115529 0.012668 0.38726 0.900251 0.032182 0.575442 0.733149 0.085414 0.287384 0.617044 0.623165 0.554362 0.62024 0.632814 0.310984 0.626785 0.859781 0.744549 0.954661 0.834486 0.640255 0.531084 0.15768 0.0995 0.266393 0.325809 0.329408 0.177586 0.202747 0.160948 0.322324 0.489619 0.90352 0.382931 0.823971 0.441967 0.395951 0.942849 0.586706 0.249789 0.165344 0.673988 0.267095 0.886061 0.842372 0.997635 0.880148 0.760643 0.808665 0.247052 0.178261 0.252936 0.345339 0.292185 0.059384 0.693227 0.813015 0.232322 0.300939 0.683508 0.472394 0.393075 0.258231 0.07923 0.971705 0.372208 0.63921 0.789762 0.164113 0.118232 0.18077 0.231733 0.473389 0.75077 0.913337 0.948145 0.728855 0.8566 0.431421 0.27502 0.480793 0.692337 0.468511 0.976595 0.74868 0.39574 0.565032 0.183005 0.617271 0.55996 0.723352 0.382435 0.721267 0.697215 0.65677 0.606699 0.893088 0.664429 0.221448 0.932685
"rs141457115" 0.063767 0.547381 0.13699 0.07739 0.079134 0.132331 0.147902 0.357058 0.693392 0.801274 0.89067 0.504339 0.3178 0.982783 0.527729 0.535501 0.959593 0.712848 0.182322 0.864439 0.542263 0.474556 0.542805 0.53312 0.553505 0.514657 0.426873 0.714479 0.013254 0.361417 0.369261 0.465995 0.578727 0.761176 0.653858 0.917279 0.911319 0.470809 0.932872 0.994169 0.921167 0.364354 0.22525 0.150765 0.220791 0.216001 0.239947 0.221674 0.477253 0.498375 0.614485 0.505808 0.582751 0.507125 0.710703 0.635489 0.572788 0.59187 0.543599 0.463493 0.654502 0.575861 0.590308 0.60592 0.581143 0.627835 0.57083 0.514441 0.544272 0.586828 0.526178 0.18949 0.15616 0.959814 0.489915 0.345247 0.344693 0.46276 0.723726 0.688853 0.66624 0.74392 0.697023 0.717419 0.339836 0.240396 0.129281 0.117226 0.165077 0.164956 0.311638 0.205993 0.822764 0.08942 0.058359 0.064871 0.110874 0.446323 0.251748 0.459021 0.77618 0.132692 0.084256 0.064619 0.109874
"rs182704680" 0.968602 0.410539 0.331859 0.251105 0.196486 0.175729 0.793308 0.710949 0.27228 0.477664 0.770593 0.257647 0.256801 0.144858 0.979406 0.107315 0.884519 0.568548 0.716841 0.960947 0.511427 0.69081 0.514545 0.635708 0.500478 0.557555 0.236002 0.467639 0.98081 0.817147 0.680526 0.71399 0.949228 0.875731 0.935291 0.51108 0.867963 0.488747 0.536556 0.939756 0.549027 0.88983 0.748292 0.827547 0.276714 0.350109 0.521168 0.352992 0.509581 0.230097 0.321239 0.65698 0.358151 0.72545 0.555077 0.544667 0.538615 0.39937 0.553152 0.20539 0.419228 0.521881 0.13842 0.258212 0.406413 0.582184 0.318384 0.800021 0.178243 0.453704 0.560928 0.574156 0.663107 0.615411 0.288285 0.618731 0.63309 0.700397 0.98465 0.849597 0.571541 0.575445 0.552692 0.60219 0.260149 0.606906 0.695114 0.621669 0.864445 0.904737 0.961 0.860416 0.91075 0.991267 0.926949 0.992038 0.841342 0.470423 0.473593 0.434498 0.437287 0.813388 0.762495 0.744225 0.616091
"rs72641516" 0.789971 0.144877 0.097387 0.183045 0.46457 0.309797 0.174796 0.291657 0.105563 0.579994 0.287124 0.039493 0.074863 0.429416 0.842402 0.306031 0.182774 0.192558 0.339867 0.350206 0.130173 0.228582 0.098717 0.179691 0.0989 0.069665 0.038288 0.11175 0.759911 0.348273 0.287608 0.180193 0.207232 0.163047 0.201235 0.135858 0.13815 0.086962 0.120312 0.142639 0.10862 0.321613 0.47857 0.390286 0.228842 0.219401 0.789571 0.226071 0.24556 0.230897 0.18259 0.237491 0.26757 0.261837 0.114924 0.186208 0.100517 0.085039 0.086631 0.037631 0.060271 0.052406 0.96798 0.063604 0.082234 0.272868 0.181008 0.799511 0.964877 0.174201 0.043641 0.987847 0.936327 0.172841 0.071735 0.05827 0.043103 0.504705 0.091539 0.069289 0.04959 0.066207 0.053277 0.059476 0.032768 0.724946 0.415146 0.488727 0.783254 0.840818 0.487161 0.980007 0.330904 0.248004 0.225598 0.284854 0.273066 0.101048 0.166744 0.095974 0.05641 0.177614 0.118781 0.085035 0.037515
"rs74159394" 0.10566 0.595619 0.541804 0.578131 0.28288 0.893153 0.233417 0.961465 0.630279 0.168249 0.560001 0.67739 0.90129 0.999101 0.206917 0.27252 0.75002 0.135879 0.471705 0.4511 0.629494 0.726508 0.65369 0.623121 0.663623 0.722369 0.848688 0.692516 0.320275 0.535994 0.529357 0.617355 0.485826 0.4797 0.47025 0.729006 0.734825 0.422387 0.731848 0.647938 0.73519 0.203402 0.168707 0.133633 0.19059 0.206924 0.451069 0.131687 0.515925 0.489425 0.458445 0.350989 0.337444 0.329472 0.752901 0.72591 0.709417 0.574977 0.715964 0.809948 0.289089 0.320613 0.815971 0.356987 0.415333 0.249713 0.39127 0.632898 0.763783 0.375667 0.301868 0.98651 0.890968 0.947481 0.605558 0.535239 0.538752 0.257792 0.483089 0.863826 0.75484 0.858506 0.750492 0.695102 0.871452 0.406371 0.616174 0.49959 0.518122 0.45048 0.449723 0.092995 0.344637 0.120342 0.089803 0.148583 0.110892 0.702455 0.739679 0.685186 0.806203 0.102993 0.138115 0.027255 0.415555
"rs75193468" 0.60912 0.407327 0.653575 0.945005 0.95981 0.917479 0.724872 0.463884 0.807906 0.750951 0.778898 0.696525 0.962579 0.258221 0.90446 0.231133 0.420985 0.103317 0.407306 0.147468 0.399279 0.176338 0.398566 0.241829 0.417759 0.60857 0.425497 0.354824 0.629661 0.361449 0.353239 0.158559 0.243833 0.259799 0.237298 0.368574 0.476421 0.824452 0.383627 0.691402 0.399583 0.70385 0.741651 0.671737 0.358732 0.500499 0.628641 0.684144 0.375349 0.369559 0.764393 0.404112 0.47399 0.411098 0.353354 0.432159 0.438136 0.771079 0.477508 0.730547 0.4756 0.659436 0.675539 0.498739 0.58283 0.38355 0.826019 0.525338 0.430555 0.177295 0.999546 0.496922 0.359182 0.850005 0.420135 0.626355 0.595422 0.524755 0.932593 0.957926 0.607566 0.862294 0.604121 0.890985 0.938004 0.471357 0.285544 0.213072 0.186639 0.185124 0.135317 0.445817 0.419951 0.359645 0.501251 0.342383 0.93883 0.827152 0.507721 0.654073 0.951487 0.190687 0.242895 0.379998 0.130717
"rs11676255" 0.458614 0.276202 0.92726 0.836261 0.731666 0.241154 0.972007 0.592059 0.962647 0.350258 0.533859 0.747308 0.560076 0.554081 0.321798 0.714916 0.571309 0.130666 0.622969 0.550154 0.471732 0.773378 0.583777 0.63878 0.621999 0.936655 0.612245 0.620755 0.5954 0.82648 0.741384 0.569727 0.602881 0.479583 0.58166 0.544848 0.567091 0.385688 0.569196 0.462492 0.580939 0.394083 0.355 0.342448 0.36566 0.224003 0.422966 0.435732 0.595875 0.432875 0.379586 0.529134 0.484853 0.534021 0.686366 0.63467 0.61056 0.438381 0.592165 0.505024 0.21972 0.26808 0.565833 0.424809 0.356357 0.474111 0.554685 0.606115 0.324918 0.655871 0.521632 0.897715 0.803808 0.45667 0.673527 0.551772 0.667451 0.433166 0.250901 0.383095 0.364656 0.395017 0.415131 0.59612 0.506465 0.560267 0.564548 0.62606 0.580575 0.697061 0.679418 0.702817 0.942501 0.354092 0.102754 0.231635 0.463583 0.77861 0.869363 0.829993 0.837655 0.071011 0.180301 0.150204 0.434376
"rs77732366" 0.325656 0.916295 0.109717 0.040244 0.018019 0.786559 0.004093 0.610211 0.094927 0.071081 0.982685 0.056934 0.580233 0.515891 0.247849 0.295857 0.100628 0.253916 0.316836 0.2767 0.072915 0.057107 0.091521 0.09381 0.114526 0.446204 0.01817 0.180236 0.076287 0.514462 0.507056 0.51921 0.378605 0.261656 0.321969 0.187328 0.149417 0.142576 0.154679 0.149637 0.172142 0.199191 0.271024 0.269709 0.106091 0.102708 0.083691 0.104793 0.168 0.122695 0.122825 0.175034 0.2137 0.202524 0.266474 0.243642 0.261294 0.377066 0.293273 0.509845 0.612118 0.339969 0.281745 0.070583 0.138802 0.067788 0.037233 0.278608 0.144768 0.231453 0.248227 0.570144 0.850554 0.509971 0.198299 0.265749 0.440962 0.508676 0.673755 0.809299 0.575469 0.691777 0.395652 0.131212 0.843687 0.030131 0.603303 0.586396 0.780484 0.868017 0.869515 0.924065 0.729876 0.350479 0.432438 0.311274 0.277031 0.242641 0.120121 0.340402 0.820513 0.291889 0.556603 0.185754 0.955288
"rs78821523" 0.218184 0.874605 0.859645 0.545385 0.92963 0.104625 0.999249 0.988951 0.653848 0.97802 0.520382 0.733377 0.91404 0.436206 0.269274 0.549989 0.287839 0.318208 0.141968 0.804879 0.520509 0.980843 0.491902 0.902764 0.490937 0.781946 0.953573 0.724978 0.610488 0.883664 0.379973 0.269122 0.599212 0.390791 0.542367 0.672929 0.389751 0.044765 0.625307 0.483971 0.635584 0.512524 0.125292 0.138056 0.121364 0.144635 0.607767 0.030119 0.26852 0.082003 0.031139 0.098611 0.093701 0.087007 0.683777 0.373171 0.740011 0.438716 0.743416 0.807299 0.746028 0.130014 0.792432 0.178245 0.038623 0.720004 0.005682 0.722129 0.731458 0.768785 0.249121 0.451981 0.541974 0.330902 0.760034 0.792332 0.671746 0.486863 0.667898 0.696791 0.904849 0.262639 0.779265 0.370222 0.916206 0.229256 0.926007 0.857552 0.946554 0.934365 0.985685 0.2935 0.396835 0.494297 0.192542 0.338138 0.210441 0.349525 0.307084 0.399442 0.956145 0.598166 0.551641 0.826778 0.374985
"rs114112247" 0.629252 0.665734 0.355461 0.324677 0.182632 0.123212 0.209606 0.48818 0.750134 0.600162 0.774035 0.831099 0.725218 0.281533 0.490652 0.154182 0.841299 0.698529 0.641731 0.660915 0.937104 0.897182 0.816714 0.756983 0.750469 0.553282 0.952451 0.800356 0.943888 0.647411 0.70152 0.730403 0.740566 0.64741 0.741043 0.83759 0.841132 0.441435 0.797304 0.797521 0.789843 0.506655 0.595989 0.570336 0.481913 0.389401 0.179488 0.60931 0.56227 0.597252 0.72114 0.701367 0.634397 0.732275 0.791074 0.776477 0.765889 0.900311 0.767804 0.889223 0.386462 0.399766 0.403736 0.271215 0.366235 0.128899 0.22641 0.377854 0.742807 0.941941 0.582068 0.998027 0.944489 0.141464 0.704052 0.634045 0.809485 0.922933 0.255184 0.264259 0.240742 0.230299 0.241126 0.21839 0.979913 0.101521 0.510077 0.570145 0.515123 0.708086 0.814654 0.57618 0.623237 0.318333 0.252777 0.79503 0.392942 0.409313 0.621993 0.402857 0.318251 0.578333 0.486895 0.527927 0.396377
"rs183271797" 0.416074 0.326641 0.14284 0.224512 0.412278 0.63014 0.360642 0.158231 0.381486 0.324318 0.736082 0.422954 0.3301 0.464871 0.595817 0.105667 0.141621 0.443818 0.742283 0.335192 0.14308 0.247388 0.087782 0.079546 0.075598 0.113021 0.443366 0.182345 0.625819 0.43009 0.398964 0.353879 0.539597 0.625741 0.57142 0.1882 0.182223 0.103329 0.144807 0.130011 0.132803 0.53655 0.325773 0.341499 0.345851 0.219335 0.295014 0.387938 0.761651 0.795394 0.659949 0.523397 0.438219 0.428962 0.185507 0.190252 0.192135 0.22094 0.177334 0.125664 0.226694 0.211285 0.822736 0.205499 0.107982 0.453457 0.157171 0.606532 0.844037 0.245779 0.148352 0.47615 0.317198 0.182013 0.176535 0.183162 0.172852 0.967436 0.263256 0.217097 0.186311 0.187522 0.167796 0.365599 0.315638 0.319456 0.391486 0.346261 0.152283 0.225453 0.141662 0.147994 0.555497 0.5786 0.474415 0.447207 0.594681 0.098886 0.110738 0.092724 0.121713 0.617243 0.873178 0.850466 0.063759
"rs145832440" 0.952034 0.392421 0.07319 0.234478 0.844941 0.528654 0.424577 0.741306 0.389379 0.204397 0.149663 0.133229 0.098065 0.55453 0.963712 0.8051 0.910519 0.411944 0.667665 0.077474 0.930251 0.949088 0.995071 0.92222 0.933221 0.664443 0.094656 0.809181 0.280815 0.17541 0.165681 0.167503 0.298089 0.437632 0.338499 0.853039 0.915435 0.06333 0.873887 0.887613 0.863066 0.116935 0.093774 0.146148 0.118099 0.090697 0.039477 0.111619 0.058664 0.050141 0.062201 0.040084 0.055414 0.039277 0.762194 0.761471 0.72201 0.663037 0.716049 0.046718 0.131021 0.069441 0.281567 0.035741 0.078924 0.019658 0.062449 0.383983 0.171409 0.800681 0.092883 0.061604 0.026804 0.329338 0.599052 0.544749 0.600561 0.194877 0.276207 0.125821 0.091921 0.105948 0.067963 0.038061 0.090353 0.030995 0.108228 0.093683 0.077303 0.062747 0.050706 0.035405 0.797458 0.10247 0.096977 0.07606 0.191846 0.535172 0.716906 0.475434 0.183125 0.148511 0.074376 0.192789 0.662189
"rs77106462" 0.831329 0.328081 0.552847 0.629807 0.532524 0.774488 0.371622 0.944586 0.081888 0.241833 0.380698 0.049681 0.094668 0.321608 0.009695 0.768102 0.307142 0.942563 0.52539 0.807629 0.30866 0.377247 0.351835 0.386767 0.393192 0.462118 0.252033 0.221933 0.942688 0.738823 0.79128 0.859418 0.7629 0.739082 0.777762 0.202548 0.231628 0.371291 0.244644 0.324407 0.253937 0.677975 0.650641 0.734807 0.413756 0.387896 0.621493 0.321622 0.890249 0.829539 0.527319 0.773047 0.640105 0.726914 0.191607 0.219272 0.236436 0.277417 0.232638 0.09197 0.517607 0.432893 0.178476 0.325591 0.361861 0.842683 0.236036 0.189345 0.146651 0.257786 0.443884 0.591761 0.707374 0.966158 0.225498 0.323518 0.252446 0.602898 0.483184 0.457853 0.494597 0.521186 0.490055 0.490668 0.066657 0.754387 0.349175 0.466743 0.650931 0.601806 0.710013 0.481728 0.772446 0.768013 0.909813 0.868112 0.909007 0.698752 0.628342 0.67175 0.545123 0.788724 0.938698 0.932515 0.571091
