"rsid" "gene" "protein" "eQTL" "ref"
"833" "rs1461107" "RP11-572M11.4" "." "Esophagus_Muscularis, Thyroid, Artery_Tibial" NA
"834" "rs146127255" "RP11-21J7.1" "." "." NA
"835" "rs146170334" "SCN11A" "." "." NA
"836" "rs146219384" "GABRG3" "." "." NA
"837" "rs146254219" "IMMP2L" "." "." NA
"838" "rs146295193" "RP1-116K23.1" "." "." NA
"839" "rs146301657" "AC079412.1" "." "." NA
"840" "rs146353618" "NT5DC1" "." "Cells_Transformed_fibroblasts" NA
"841" "rs146493434" "RP11-25I15.2" "." "." NA
"842" "rs146495731" "U6" "." "." NA
"843" "rs146497825" "RP11-3L23.2" "." "." NA
"844" "rs146513559" "INPP4A" "." "." NA
"845" "rs146643212" "RP11-93L9.1" "." "." NA
"846" "rs146652741" "GPR12" "." "." NA
"847" "rs146720328" "U6" "." "." NA
"848" "rs146738493" "RN5S281" "." "." NA
"849" "rs146746003" "RP11-12K22.1" "." "." NA
"850" "rs146823191" "RP11-398A8.3" "." "." NA
"851" "rs146845842" "PXDN" "." "." "https://en.wikipedia.org/wiki/PXDN. Mutations in PXDN are associated with microphthalmia (小眼症)."
"852" "rs146870349" "TMEM120B" "." "." NA
"853" "rs146899597" "STC1" "MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr" "." NA
"854" "rs146980606" "SETX" "." "." NA
"855" "rs1470296" "RP11-60A24.3" "." "." NA
"856" "rs147052545" "STK32B" "." "." NA
"857" "rs147053713" "RP11-21B23.1" "." "." NA
"858" "rs147069896" "ADAMTS6" "." "." NA
"859" "rs147217952" "SEC14L1" "." "." NA
"860" "rs147233090" "U6" "." "Thyroid, Cells_Transformed_fibroblasts, Artery_Tibial" NA
"861" "rs147247211" "STEAP3" "." "." NA
"862" "rs147269509" "ODZ3" "." "." NA
"863" "rs147300911" "ZFP42" "." "." NA
"864" "rs147327669" "ABCA12" "." "." NA
"865" "rs1473527" "TGFB2" "." "." NA
"866" "rs147352878" "Metazoa_SRP" "." "." NA
"867" "rs147370776" "OR5AK2" "." "." NA
"868" "rs147399770" "RP11-258J10.1" "." "." NA
"869" "rs147433313" "CTD-2316B1.2" "." "." NA
"870" "rs1475587" "LTN1" "." "Heart_Left_Ventricle" NA
"871" "rs147566133" "LRRTM4" "." "." NA
"872" "rs147570330" "RAB40C" "K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct" "." NA
"873" "rs147603896" "RP11-430H10.2" "." "." NA
"874" "rs147630550" "7SK" "." "." NA
"875" "rs147639397" "NTM" "." "." NA
"876" "rs147646078" "LINC00276" "." "." NA
"877" "rs147693836" "SLC19A1" "." "." NA
"878" "rs147696309" "ZMYM1" "." "." NA
"879" "rs147735338" "RP11-308K2.1" "." "." NA
"880" "rs147760081" "RFX4" "." "." NA
"881" "rs147784308" "WARS2" "." "." NA
"882" "rs147845224" "SPOCK3" "." "." NA
"883" "rs147909970" "TRPM2" "." "." NA
"884" "rs147982520" "PCDH9" "." "." NA
"885" "rs148061462" "AC009035.1" "." "." NA
"886" "rs148123101" "RP11-389E17.1" "T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"887" "rs148129305" "RP1-90L14.1" "." "." NA
"888" "rs148158958" "GMDS" "." "." NA
"889" "rs148266735" "PRPF8" "." "." NA
"890" "rs148284924" "WWC2" "." "." NA
"891" "rs148407451" "MTTP" "." "." NA
"892" "rs148416702" "NDUFAF4" "." "." NA
"893" "rs148444866" "ZNF45" "." "." NA
"894" "rs148499504" "U1" "." "." NA
"895" "rs148512052" "C3orf33" "." "." NA
"896" "rs148542315" "RP11-6F2.7" "." "Thyroid, Lymphoblastoid_EUR_genelevel, Esophagus_Mucosa" NA
"897" "rs148587071" "USH2A" "." "." NA
"898" "rs148634498" "HMGA2" "." "." NA
"899" "rs148675406" "RP11-754N21.1" "." "." NA
"900" "rs148683230" "PHF21A" "." "." NA
"901" "rs148700991" "ZNF804A" "." "." NA
"902" "rs148713124" "CD3G" "." "." NA
"903" "rs148739346" "ST14" "." "." NA
"904" "rs148751693" "MUC4" "." "." NA
"905" "rs148796483" "CACNA1H" "." "." NA
"906" "rs148806124" "TMC1" "." "." NA
"907" "rs148830070" "AP000459.7" "." "." NA
"908" "rs148861676" "TPBG" "." "." NA
"909" "rs148898221" "RP11-17A1.2" "." "." NA
"910" "rs148983831" "RP11-325B23.2" "." "." NA
"911" "rs149002648" "TPBG" "." "." NA
"912" "rs149023713" "SNX29P2" "." "." NA
"913" "rs149031170" "TBX20" "." "." NA
"914" "rs149045082" "CNTNAP3" "." "." NA
"915" "rs149045173" "SFRP1" "." "." NA
"916" "rs149066016" "ALK" "." "." NA
"917" "rs149102640" "IGFL3" "." "." NA
"918" "rs149175792" "CUL4A" "." "." NA
"919" "rs149194664" "snosnR60_Z15" "." "." NA
"920" "rs149219316" "DAB2" "." "." NA
"921" "rs149267702" "CHL1-AS1" "." "." NA
"922" "rs149332452" "UGT2B7" "." "." NA
"923" "rs149341445" "RP11-122C5.1" "." "." NA
"924" "rs149345807" "CHIT1" "." "." NA
"925" "rs149357521" "VWC2" "." "." NA
"926" "rs149368705" "GCFC2" "." "." NA
"927" "rs149412961" "NSUN3" "." "." NA
"928" "rs149463560" "SPRED1" "." "." NA
"929" "rs149558721" "CTD-2066L21.3" "." "." NA
"930" "rs149583679" "LHFPL3" "." "." NA
"931" "rs149641962" "CSMD1" "." "." NA
"932" "rs149705921" "SOX17" "." "." NA
"933" "rs149710938" "PALLD" "." "." NA
"934" "rs149716998" "U6" "." "." NA
"935" "rs149720940" "SYNE2" "." "." NA
"936" "rs149733282" "AP000472.2" "." "." NA
"937" "rs149791865" "MAP2K3" "." "." NA
"938" "rs149824840" "DPYD" "." "." NA
"939" "rs149827063" "RP5-1027O15.1" "." "." NA
"940" "rs149833176" "GALNT14" "." "." NA
"941" "rs149849188" "U6" "." "." NA
"942" "rs149877964" "GINS4" "." "." NA
"943" "rs149942876" "RP11-412H9.2" "." "." NA
"944" "rs149963264" "RP11-369E15.1" "." "." NA
"945" "rs149972304" "ANKH" "." "." NA
"946" "rs149994562" "RP11-701P16.4" "." "." NA
"947" "rs150028104" "RP11-57J16.1" "." "." NA
"948" "rs150070111" "AC134698.1" "." "." NA
"949" "rs1500895" "KB-1047C11.2" "." "." NA
"950" "rs150206406" "MIR4318" "." "." NA
"951" "rs150241886" "FRAS1" "." "." NA
"952" "rs150287782" "C20orf26" "." "." NA
"953" "rs150329333" "XXbac-B461K10.4" "." "." NA
"954" "rs150356992" "RP11-375F2.2" "." "." NA
"955" "rs150358738" "ANHX" "." "Testis, Lymphoblastoid_EUR_exonlevel, Nerve_Tibial" NA
"956" "rs150373016" "CTC-321K16.1" "." "." NA
"957" "rs150479127" "ANKRD44" "." "." NA
"958" "rs1504797" "RP11-586K2.1" "." "Thyroid, Cells_Transformed_fibroblasts, Adipose_Subcutaneous" NA
"959" "rs150519022" "SALL1" "." "." NA
"960" "rs150521015" "CTD-2540C19.1" "." "." NA
"961" "rs150544891" "TRPS1" "." "." NA
"962" "rs150596901" "ASB7" "." "." NA
"963" "rs150626039" "MPO" "." "." NA
"964" "rs150638501" "MORC1" "." "." NA
"965" "rs150649461" "GFI1" "." "." "https://en.wikipedia.org/wiki/GFI1. It is important normal hematopoiesis (造血)."
"966" "rs1506636" "WASL" "." "Skin_Sun_Exposed_Lower_leg, Thyroid" NA
"967" "rs150667309" "AC012363.13" "." "." NA
"968" "rs150784473" "Metazoa_SRP" "." "." NA
"969" "rs150784967" "NOL6" "." "." NA
"970" "rs150828861" "ARHGEF4" "." "." NA
"971" "rs150853265" "Y_RNA" "." "." NA
"972" "rs150878155" "AC004014.3" "." "." NA
"973" "rs150887486" "C6orf118" "." "." NA
"974" "rs150908167" "AC116562.2" "." "." NA
"975" "rs150942000" "CEACAM16" "." "." NA
"976" "rs150965870" "ZCCHC6" "." "." NA
"977" "rs151016605" "KLHL3" "." "." NA
"978" "rs151060914" "CTD-2316B1.2" "." "." NA
"979" "rs151117033" "AC073479.1" "." "." NA
"980" "rs151118046" "PDE6B" "." "." NA
"981" "rs151127134" "RP11-686D16.1" "." "." NA
"982" "rs151128711" "CLIP1" "." "." NA
"983" "rs151159876" "ZNF516" "." "." NA
"984" "rs151212196" "AY269186.2" "." "." NA
"985" "rs151234" "CLN3" "." "Adipose_Visceral_Omentum, Whole_Blood, Lung" NA
"986" "rs151262985" "RP11-118N24.3" "." "." NA
"987" "rs151317916" "AP001476.3" "." "." NA
"988" "rs151453" "TH1L" "." "." NA
"989" "rs1531133" "CRIPT" "A549,POL2,HudsonAlpha,EtOH_0.02pct" "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"990" "rs1533710" "RP11-338E21.1" "." "." NA
"991" "rs1537061" "LMO4" "." "." NA
"992" "rs1537828" "FZD8" "." "." NA
"993" "rs1540061" "CCBE1" "." "Brain_Cortex, Lung" NA
"994" "rs1540310" "KCNS1" "." "Adrenal_Gland, Cells_Transformed_fibroblasts" NA
"995" "rs1554821" "ELAVL2" "." "." NA
"996" "rs1556659" "RP11-442O18.1" "." "." NA
"997" "rs1561076" "THRB-IT1" "." "." NA
"998" "rs1561102" "C4orf32" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts" NA
"999" "rs1569419" "PRDM16" "." "." NA
"1000" "rs157198" "RP1-212P9.3" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;K562,CMYC,Stanford,IFNa30;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle;T-47D,CTCF,HudsonAlpha,DMSO_0.02pct" "." NA
"1001" "rs157577" "P4HA2" "A549,POL2,HudsonAlpha,DEX_100nM;A549,POL2,HudsonAlpha,EtOH_0.02pct;HepG2,POL2,Stanford,forskolin;K562,IRF1,Stanford,IFNg6h;K562,POL2,Stanford,IFNa30;K562,POL2,Stanford,IFNa6h;K562,POL2,Stanford,IFNg30;K562,POL2,Stanford,IFNg6h;MCF10A-Er-Src,POL2,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,POL2,Stanford,EtOH_0.01pct" "Skin_Sun_Exposed_Lower_leg, Muscle_Skeletal" NA
"1002" "rs1584425" "RP11-818C3.1" "." "." NA
"1003" "rs1613299" "ZMIZ1" "." "." NA
"1004" "rs1614123" "PDE4B" "." "." NA
"1005" "rs16827243" "TXNIP" "MCF10A-Er-Src,POL2,Stanford,EtOH_0.01pct" "Colon_Sigmoid" NA
"1006" "rs16830292" "MIR4425" "." "." NA
"1007" "rs16831488" "ATP1A4" "." "." NA
"1008" "rs16846831" "KCNH7" "." "." NA
"1009" "rs1684973" "TBC1D9B" "." "Muscle_Skeletal, Nerve_Tibial, Esophagus_Mucosa" NA
"1010" "rs16850073" "CXCL6" "." "Nerve_Tibial, Pancreas" NA
"1011" "rs16850907" "KAZN" "." "." NA
"1012" "rs16855567" "U1" "." "Whole_Blood" NA
"1013" "rs16858510" "KYNU" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"1014" "rs16870433" "AL589947.1" "." "." NA
"1015" "rs16874051" "RP11-380P13.1" "." "Lung" NA
"1016" "rs16880694" "RP11-123O22.1" "." "." NA
"1017" "rs16881074" "KB-1299A7.2" "." "." NA
"1018" "rs16885591" "RP11-665I14.1" "." "." NA
"1019" "rs16888425" "RAB28" "." "." NA
"1020" "rs16892328" "RP11-250B2.5" "." "." NA
"1021" "rs16956531" "NXN" "." "." NA
"1022" "rs16965414" "TSHZ3" "." "Whole_Blood" NA
"1023" "rs17008015" "EXOC6B" "." "Whole_Blood" NA
"1024" "rs17027632" "RP11-724M22.1" "." "." NA
"1025" "rs17031468" "AC074391.2" "." "." NA
"1026" "rs1703368" "ARL15" "." "." NA
"1027" "rs17035120" "GLT8D2" "." "Lymphoblastoid_EUR_exonlevel" NA
"1028" "rs17036072" "SUMF1" "." "." NA
"1029" "rs17037834" "IQSEC1" "." "." NA
"1030" "rs17042144" "RP11-777N19.1" "." "." NA
"1031" "rs17057334" "ARHGEF3" "." "." NA
"1032" "rs1708558" "AC002485.1" "." "." NA
"1033" "rs17086242" "FLT3" "." "." "https://en.wikipedia.org/wiki/CD135. Signalling of FLT3 is important for the normal development of haematopoietic stem cells and progenitor cells. The FLT3 gene is one of the most frequently mutated genes in acute myeloid leukemia (AML 急性髓系白血病). High levels of wild-type FLT3 have been reported for blast cells of some AML patients without FLT3 mutations."
"1034" "rs17096850" "RP11-355F22.1" "." "." NA
"1035" "rs17099613" "RP11-566J3.2" "." "Whole_Blood" NA
"1036" "rs17108489" "NRXN3" "." "." "https://en.wikipedia.org/wiki/NRXN3; Neurexins are a family of proteins that function in the vertebrate nervous system as cell adhesion molecules and receptors. NRXN3 is thought to be involved in synaptic plasticity, and polymorphisms in NRXN3 have been linked to genetic predisposition towards a number of conditions such as alcohol or drug addiction, or obesity."
"1037" "rs17148569" "FTMT" "." "." NA
"1038" "rs17176295" "CACNA2D1" "." "." NA
"1039" "rs17183079" "FAM190A" "." "." NA
"1040" "rs17184689" "ADCY4" "." "Whole_Blood, Testis" NA
"1041" "rs1718709" "AC009499.1" "." "." NA
"1042" "rs1719263" "AC069368.3" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel, Artery_Tibial" NA
"1043" "rs17194489" "GALNT13" "." "." NA
"1044" "rs17196752" "RP11-290F20.3" "." "Whole_Blood, Adipose_Subcutaneous, Cells_Transformed_fibroblasts" NA
"1045" "rs17197114" "CHD8" "." "Whole_Blood" NA
"1046" "rs17198981" "C14orf119" "." "Whole_Blood" NA
"1047" "rs17210418" "CNTN6" "." "." NA
"1048" "rs17232348" "UFM1" "." "." NA
"1049" "rs17237668" "RORA" "." "." NA
"1050" "rs17248720" "LDLR" "." "." NA
"1051" "rs17326790" "LINC00333" "." "." NA
"1052" "rs17354680" "ATRNL1" "." "." NA
"1053" "rs17376355" "Y_RNA" "." "." NA
"1054" "rs17391320" "CSMD1" "." "." NA
"1055" "rs17391470" "DCC" "." "." NA
"1056" "rs17396536" "GALK2" "." "Thyroid, Lung, Whole_Blood" NA
"1057" "rs17404017" "RP11-413P11.1" "." "." NA
"1058" "rs17410058" "snR65" "." "." NA
"1059" "rs17441542" "RP11-545P6.2" "." "." NA
"1060" "rs17446795" "LRRC8D" "." "." NA
"1061" "rs17448395" "CDH2" "." "." NA
"1062" "rs174559" "RP11-467L20.7" "." "Whole_Blood, Esophagus_Muscularis, Cells_Transformed_fibroblasts" NA
"1063" "rs17462893" "RHOBTB3" "." "Lymphoblastoid_EUR_exonlevel" NA
"1064" "rs17469778" "RP5-1027O11.1" "." "." NA
"1065" "rs17513177" "RBM47" "." "." NA
"1066" "rs17521080" "FNDC3B" "." "." NA
"1067" "rs17531740" "AC105252.1" "." "." NA
"1068" "rs175705" "BATF" "." "." NA
"1069" "rs17641347" "7SK" "." "." NA
"1070" "rs17656204" "PDGFRB" "A549,CTCF,HudsonAlpha,EtOH_0.02pct;HepG2,HNF4A,Stanford,forskolin" "Whole_Blood" NA
"1071" "rs1768584" "TMCC2" "MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "Adipose_Subcutaneous, Artery_Tibial, Lymphoblastoid_EUR_exonlevel" NA
"1072" "rs17689912" "YAP1" "." "." NA
"1073" "rs17721193" "Y_RNA" "." "Lung, Nerve_Tibial" NA
"1074" "rs17739167" "EHD4" "." "Muscle_Skeletal, Nerve_Tibial, Heart_Atrial_Appendage" NA
"1075" "rs17743415" "ZNF638" "." "Artery_Aorta, Thyroid, Artery_Tibial" NA
"1076" "rs17747388" "ERBB4" "." "." NA
"1077" "rs17753641" "CTD-2049J23.2" "." "." NA
"1078" "rs17758695" "BCL2" "." "." "https://en.wikipedia.org/wiki/Bcl-2. It has clinical significance in lymphoma."
"1079" "rs17803229" "DLGAP1" "." "." NA
"1080" "rs17806634" "GAB4" "." "." NA
"1081" "rs17828806" "PDGFC" "." "." NA
"1082" "rs17867634" "GTPBP10" "." "Thyroid, Skin_Sun_Exposed_Lower_leg, Esophagus_Muscularis" NA
"1083" "rs1799025" "MAGI2" "." "." NA
"1084" "rs1800973" "LYZ" "." "Brain_PUTM, Brain_CRBL" NA
"1085" "rs1801253" "ADRB1" "." "Testis" NA
"1086" "rs180163" "AC002539.1" "." "." NA
"1087" "rs1804193" "PMP22" "." "." NA
"1088" "rs180681439" "U3" "." "." NA
"1089" "rs180897639" "SNX29P2" "." "Lung" NA
"1090" "rs180906734" "MYO7A" "." "." NA
"1091" "rs181349760" "EMCN" "." "." NA
"1092" "rs181401710" "CACNA2D3" "." "." NA
"1093" "rs181776192" "LINC00464" "." "." NA
"1094" "rs181926896" "U6" "." "." NA
"1095" "rs182143176" "RNU7-2P" "." "." NA
"1096" "rs182163509" "RP11-698F20.3" "." "." NA
"1097" "rs182230533" "GS1-204I12.2" "." "." NA
"1098" "rs1822534" "PPARG" "." "." NA
"1099" "rs182486971" "AC091172.1" "." "." NA
"1100" "rs182804464" "COL6A1" "." "." NA
"1101" "rs182953656" "FABP6" "." "." NA
"1102" "rs183152571" "CCNJL" "." "." NA
"1103" "rs183244598" "RP5-968D22.3" "." "." NA
"1104" "rs183322894" "PRMT6" "." "." NA
"1105" "rs183342783" "RP11-580I1.1" "." "." NA
"1106" "rs183346366" "AC109351.1" "." "." NA
"1107" "rs183572109" "U6" "." "." NA
"1108" "rs183644811" "ADCY10" "." "." NA
"1109" "rs183722338" "MIR1269A" "." "." NA
"1110" "rs183779335" "CDH11" "." "." NA
"1111" "rs183843320" "MAP2K2" "." "." NA
"1112" "rs183892629" "AC109642.1" "." "." NA
"1113" "rs184138125" "PCDH20" "." "." NA
"1114" "rs1844468" "IQCJ-SCHIP1" "." "." NA
"1115" "rs184818898" "ANKLE2" "." "." NA
"1116" "rs184842837" "AGAP1" "." "." NA
"1117" "rs184909742" "SOX6" "." "." NA
"1118" "rs184924404" "RP11-145O15.3" "." "." NA
"1119" "rs184979650" "RP11-275I4.1" "." "." NA
"1120" "rs185212652" "HTR4" "." "." NA
"1121" "rs185239546" "RP11-22D3.2" "." "." NA
"1122" "rs185458664" "snoU13" "." "." NA
"1123" "rs185481756" "FABP2" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts" NA
"1124" "rs185568001" "AC104802.1" "." "." NA
"1125" "rs185959983" "U6" "." "Artery_Tibial, Muscle_Skeletal, Thyroid" NA
"1126" "rs185979209" "PROM2" "." "Breast_Mammary_Tissue" NA
"1127" "rs185988713" "TPTE2" "." "." NA
"1128" "rs186058931" "PSMC1" "." "." NA
"1129" "rs186210992" "ZFP28" "." "." NA
"1130" "rs186314808" "RP11-324C10.1" "." "." NA
"1131" "rs186369578" "SNTA1" "K562,IRF1,Stanford,IFNg6h" "." NA
"1132" "rs186378280" "RP11-707A18.1" "." "." NA
"1133" "rs186602978" "PHIP" "." "." NA
"1134" "rs187156289" "NID2" "." "." NA
"1135" "rs187289617" "SFRP1" "." "." NA
"1136" "rs1873164" "CCDC141" "." "Muscle_Skeletal, Whole_Blood" NA
"1137" "rs187373564" "ADARB2" "." "." NA
"1138" "rs187479646" "RP11-366H4.1" "." "." NA
"1139" "rs187554965" "MC4R" "." "." NA
"1140" "rs187638731" "LAMA5" "." "Esophagus_Mucosa, Esophagus_Muscularis, Artery_Tibial" NA
"1141" "rs187646333" "P2RX6" "." "." NA
"1142" "rs187786389" "C2orf55" "." "." NA
"1143" "rs187976911" "ALKBH1" "." "." NA
"1144" "rs1879943" "AC068138.1" "." "." NA
"1145" "rs188175496" "FLT3" "." "." NA
"1146" "rs188385683" "CNTN5" "." "." NA
"1147" "rs188423699" "CCNA1" "." "." NA
"1148" "rs188454820" "SLIT2" "." "." NA
"1149" "rs188561431" "MUC5B" "." "." NA
"1150" "rs1886654" "RP5-940F7.2" "HepG2,CEBPB,Stanford,forskolin;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr" "Cells_Transformed_fibroblasts, Skin_Not_Sun_Exposed_Suprapubic" NA
"1151" "rs189028619" "CLSTN2" "." "." NA
"1152" "rs189031310" "NTSR1" "." "." NA
"1153" "rs189063339" "PCSK6" "." "." NA
"1154" "rs1892548" "RN7SKP2" "." "." NA
"1155" "rs189261416" "AC018359.1" "." "." NA
"1156" "rs189314821" "AC046143.7" "." "." NA
"1157" "rs189594788" "JAM3" "." "." NA
"1158" "rs189710982" "RP11-113D6.6" "." "." NA
"1159" "rs189727784" "SNRPN" "." "." NA
"1160" "rs189867078" "TPT1-AS1" "." "." NA
"1161" "rs189893622" "HERC2" "." "." "https://en.wikipedia.org/wiki/E3_ubiquitin_ligase_HERC2. SNPs of HERC2 are strongly associated with iris colour variability in humans. In particular, the rs916977 and rs12913832 SNPs have been reported as good predictors of this trait, and the latter is also significantly associated with skin and hair colour."
"1162" "rs189902748" "PVR" "." "." NA
"1163" "rs190062396" "CSMD1" "." "." NA
"1164" "rs190301488" "SYT11" "." "." NA
"1165" "rs190523863" "SACS" "." "." "https://en.wikipedia.org/wiki/Sacsin. Autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS) is a very rare neurodegenerative genetic disorder that results from mutations in the gene that produces Sacsin. Afflicted persons suffer from loss of balance, loss of muscle control and spasticit."
"1166" "rs190869001" "SLITRK1" "." "." NA
"1167" "rs190966199" "AP000289.6" "." "." NA
"1168" "rs191149784" "SRFBP1" "." "." NA
"1169" "rs191152488" "AC104076.3" "." "." NA
"1170" "rs191407912" "RP11-138E9.2" "." "." NA
"1171" "rs191516478" "RALGAPA2" "." "." NA
"1172" "rs191591509" "KNTC1" "." "." NA
"1173" "rs191927996" "U1" "." "." NA
"1174" "rs192036" "SPTB" "." "Nerve_Tibial, Whole_Blood" NA
"1175" "rs192183222" "RP11-201A3.1" "." "." NA
"1176" "rs192450572" "CTD-3007L5.1" "." "." NA
"1177" "rs192779279" "C12orf71" "." "." NA
"1178" "rs1936806" "RSPO3" "." "Whole_Blood" NA
"1179" "rs1938495" "LEPR" "." "." NA
"1180" "rs1945103" "RP11-65M17.3" "." "." NA
"1181" "rs1958078" "SMOC1" "A549,GR,HudsonAlpha,DEX_50nM;A549,GR,HudsonAlpha,DEX_5nM;HepG2,CEBPB,Stanford,forskolin;HepG2,HNF4A,Stanford,forskolin" "." NA
"1182" "rs1962035" "KLF4" "." "." NA
"1183" "rs1963252" "DIRC3" "." "." NA
"1184" "rs1980532" "DDO" "." "." NA
"1185" "rs1983332" "ACAN" "." "." NA
"1186" "rs1983788" "RP1-230L10.1" "." "." NA
"1187" "rs1984119" "RP11-332M4.1" "." "." NA
"1188" "rs1985437" "DUS2L" "." "Artery_Tibial, Esophagus_Muscularis, Whole_Blood" NA
"1189" "rs1986195" "RP11-150O12.3" "." "." NA
"1190" "rs1991565" "SUSD1" "." "." NA
"1191" "rs1992686" "RP11-240A16.1" "." "." NA
"1192" "rs1994209" "TP53I11" "." "." NA
"1193" "rs1994670" "RP1-34H18.1" "." "." NA
"1194" "rs1998547" "SLC44A5" "." "." NA
"1195" "rs2006122" "CSHL1" "." "Artery_Tibial, Adipose_Subcutaneous, Lymphoblastoid_EUR_genelevel" NA
"1196" "rs2007701" "CTD-2081C10.1" "." "Whole_Blood" NA
"1197" "rs2014511" "KIAA0922" "." "." NA
"1198" "rs2015599" "RP11-996F15.2" "." "Lung" NA
"1199" "rs2015738" "CUBN" "." "." NA
"1200" "rs2019229" "RP11-322I2.1" "." "." NA
"1201" "rs2020038" "GLYATL1" "." "." NA
"1202" "rs2025563" "RP11-355F22.1" "." "." NA
"1203" "rs2029466" "ARHGEF3" "." "Whole_Blood, Thyroid, Brain_Cerebellum" NA
"1204" "rs2035901" "RP11-291L15.2" "." "." NA
"1205" "rs2038479" "DNM3" "." "." NA
"1206" "rs2039221" "LINC00256B" "." "Testis, Whole_Blood" NA
"1207" "rs2051270" "LINC00478" "." "." NA
"1208" "rs2058091" "RP1-240K6.3" "." "Whole_Blood, Heart_Atrial_Appendage, Lymphoblastoid_EUR_exonlevel" NA
"1209" "rs2058983" "AC010091.1" "." "." NA
"1210" "rs2060501" "U6" "." "." NA
"1211" "rs2066361" "IL33" "." "Brain_Cortex" NA
"1212" "rs2072860" "TMPRSS6" "." "." NA
"1213" "rs2075672" "TFR2" "K562,IRF1,Stanford,IFNg6h;K562,POL2,Stanford,IFNa30;K562,POL2,Stanford,IFNa6h;K562,POL2,Stanford,IFNg30;K562,POL2,Stanford,IFNg6h" "Whole_Blood, Skin_Sun_Exposed_Lower_leg" NA
"1214" "rs2086086" "RNY5" "." "." NA
"1215" "rs2104074" "DSTN" "." "." NA
"1216" "rs2108612" "U7" "." "." NA
"1217" "rs2118319" "RP11-120I21.2" "." "." NA
"1218" "rs2126474" "snoU13" "." "." NA
"1219" "rs2137082" "PDIA5" "." "." NA
"1220" "rs2150052" "RP11-202G18.1" "." "Whole_Blood" NA
"1221" "rs2157770" "BRD3" "MCF-7,CMYC,UT-A,vehicle" "Whole_Blood, Testis, Nerve_Tibial" NA
"1222" "rs2158799" "JAZF1-AS1" "." "Whole_Blood" NA
"1223" "rs2166160" "ABCB10" "." "Artery_Tibial, Adipose_Subcutaneous, Lymphoblastoid_EUR_exonlevel" NA
"1224" "rs2168711" "U4" "." "." NA
"1225" "rs2171955" "HAUS6" "." "Cells_Transformed_fibroblasts, Adipose_Subcutaneous, Artery_Tibial" NA
"1226" "rs218228" "LTBP1" "." "." NA
"1227" "rs218264" "AC006552.1" "K562,CJUN,Stanford,IFNg30;K562,CJUN,Stanford,IFNg6h;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30" "." NA
"1228" "rs219762" "AP000695.6" "." "." NA
"1229" "rs2199420" "SNORA31" "." "." NA
"1230" "rs2201142" "AC079630.4" "." "Whole_Blood, Esophagus_Mucosa" NA
"1231" "rs2228292" "CLCN2" "." "Nerve_Tibial" NA
"1232" "rs2228467" "CYP8B1" "." "." "https://en.wikipedia.org/wiki/CYP8B1. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids."
"1233" "rs2235895" "RIN2" "." "Whole_Blood" NA
"1234" "rs2236406" "PTCH1" "." "Artery_Tibial" NA
"1235" "rs2238368" "NPRL3" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1236" "rs2238783" "ARVCF" "." "Thyroid, Artery_Aorta, Artery_Tibial" NA
"1237" "rs2242398" "AURKAIP1" "A549,POL2,HudsonAlpha,EtOH_0.02pct;A549,USF1,HudsonAlpha,DEX_100nM;A549,USF1,HudsonAlpha,EtOH_0.02pct;ECC-1,ERALPHA_A,HudsonAlpha,Genistein_100nM;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30;K562,IRF1,Stanford,IFNg6h;K562,POL2,Stanford,IFNa30;K562,THAP1,HudsonAl" "Esophagus_Muscularis, Adipose_Visceral_Omentum, Colon_Sigmoid" NA
"1238" "rs2252335" "ATRN" "." "." NA
"1239" "rs2254614" "IPO9" "." "Adipose_Subcutaneous, Esophagus_Muscularis" NA
"1240" "rs2269615" "C1orf105" "." "Testis, Whole_Blood" NA
"1241" "rs2269984" "KIAA1147" "." "Skin_Sun_Exposed_Lower_leg, Nerve_Tibial, Adipose_Subcutaneous" NA
